date,asin,ads_date_ref,tsales_date_ref,impressions,clicks,ad_spend,units_sold,ad_sales,shippedunits,shippedrevenueamount,Item Name,Collection,Category,Size,Inch,orderedunits,orderedrevenueamount
04-09-2024,B09MR4D874,,2024-09-04,0,0,0,0,0,1,429,"NapQueen 10"" Bamboo Charcoal Mattress, King",Bamboo Charcoal Mattress,Mattress,King,10 Inch,0,0
21-08-2024,B09KDRMRLH,,2024-08-21,0,0,0,0,0,1,289,"NapQueen Elizabeth 10"" Gel Memory Foam Mattress, King",Elizabeth,Mattress,King,10 Inch,0,0
27-08-2024,B09KDN7PYR,,2024-08-27,0,0,0,0,0,1,219,"NapQueen Elizabeth 8"" Gel Memory Foam Mattress, Queen",Elizabeth,Mattress,Queen,8 Inch,0,0
23-08-2024,B0BRCXDHBX,,2024-08-23,0,0,0,0,0,1,140,"NapQueen Anula Green Tea 12'', Twin",Anula,Mattress,Twin,12 Inch,0,0
03-09-2024,B09KDRMRLH,,2024-09-03,0,0,0,0,0,1,396,"NapQueen Elizabeth 10"" Gel Memory Foam Mattress, King",Elizabeth,Mattress,King,10 Inch,0,0
16-08-2024,B0BGDWGRQB,,2024-08-16,0,0,0,0,0,1,119,"NapQueen 8"" Maxima Hybrid Mattress, Twin, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Twin,8 Inch,0,0
26-08-2024,B0BNL71DN2,,2024-08-26,0,0,0,0,0,1,82,"NapQueen 3"" Ventilated Bamboo Charcoal Memory Foam Mattress Topper, Queen",Bamboo Charcoal Topper,Mattress Topper,Queen,3 Inch,0,0
10-09-2024,B09KTF8ZDQ,,2024-09-10,0,0,0,0,0,1,109,"NapQueen Elsa 6"" Innerspring Mattress, Twin XL",Innerspring,Mattress,Twin XL,6 Inch,0,0
30-08-2024,B0BGDWGRQB,,2024-08-30,0,0,0,0,0,1,119,"NapQueen 8"" Maxima Hybrid Mattress, Twin, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Twin,8 Inch,0,0
08-09-2024,B0B31V3PKG,,2024-09-08,0,0,0,0,0,1,249,"NapQueen 14"" Bamboo Charcoal Mattress, Twin",Bamboo Charcoal Mattress,Mattress,Twin,14 Inch,0,0
11-09-2024,B09KDQ2BWY,,2024-09-11,0,0,0,0,0,1,239,"NapQueen Elizabeth 12"" Gel Memory Foam Mattress, Full",Elizabeth,Mattress,Full,12 Inch,0,0
28-08-2024,B0BNL1QKLV,,2024-08-28,0,0,0,0,0,1,48,"NapQueen 1.5'' 5-Zone Mattress Topper, Twin-XL",5-Zone gel,Mattress Topper,Twin XL,1.5 Inch,0,0
03-09-2024,B0BRCXXBG2,,2024-09-03,0,0,0,0,0,1,138,"NapQueen Anula Green Tea 6'', Full",Anula,Mattress,Full,6 Inch,0,0
04-09-2024,B09MR36MLJ,,2024-09-04,0,0,0,0,0,1,195,"NapQueen 10"" Bamboo Charcoal Mattress, Twin XL",Bamboo Charcoal Mattress,Mattress,Twin XL,10 Inch,0,0
15-08-2024,B0BNL4S7GH,,2024-08-15,0,0,0,0,0,1,40,"NapQueen 2"" Ventilated Bamboo Charcoal Memory Foam Mattress Topper, Twin-XL",Bamboo Charcoal Topper,Mattress Topper,Twin XL,2 Inch,0,0
